,Order,Family,Species,CVal_Mean,ChromNumber_Mean,CVal_Median,ChromNumber_Median
331,Cypriniformes,Cyprinidae,Leuciscus leuciscus,1.24,NA,1.24,NA
332,Cypriniformes,Cyprinidae,Leuciscus pyrenaicus,1.21,50,1.21,50
333,Cypriniformes,Cyprinidae,Luxilus chrysocephalus,1.15,50,1.15,50
334,Cypriniformes,Cyprinidae,Luxilus pilsbryi,1.24,50,1.24,50
335,Cypriniformes,Cyprinidae,Lythrurus ardens,1.25,50,1.25,50
336,Cypriniformes,Cyprinidae,Lythrurus bellus,1.31,50,1.31,50
337,Cypriniformes,Cyprinidae,Lythrurus umbratilis,1.33,50,1.33,50
338,Cypriniformes,Cyprinidae,Macrhybopsis aestivalis,1.25,50,1.25,50
339,Cypriniformes,Cyprinidae,Megalobrama amblycephala,1.21,NA,1.2,NA
340,Cypriniformes,Cyprinidae,Moroco jouyi,1.52,50,1.52,50
341,Cypriniformes,Cyprinidae,Moroco lagwoski,1.02,50,1.02,50
342,Cypriniformes,Cyprinidae,Moroco oxcephalus,1.11,50,1.11,50
343,Cypriniformes,Cyprinidae,Mylopharodon conocephalus,1.33,50,1.33,50
344,Cypriniformes,Cyprinidae,Mylopharyngodon piceus,1.06,NA,1.06,NA
345,Cypriniformes,Cyprinidae,Nocomis asper,1.25,50,1.25,50
346,Cypriniformes,Cyprinidae,Nocomis leptocephalus,1.25,50,1.25,50
347,Cypriniformes,Cyprinidae,Notemigonus crysoleucas,1.14,50,1.14,50
348,Cypriniformes,Cyprinidae,Notropis amabilis,1.23,50,1.23,50
349,Cypriniformes,Cyprinidae,Notropis atherinoides,1.19,50,1.19,50
350,Cypriniformes,Cyprinidae,Notropis atrocaudalis,1.45,50,1.45,50
351,Cypriniformes,Cyprinidae,Notropis baileyi,1.4,50,1.4,50
352,Cypriniformes,Cyprinidae,Notropis boops,1.1,50,1.1,50
353,Cypriniformes,Cyprinidae,Notropis braytoni,1.25,50,1.25,50
354,Cypriniformes,Cyprinidae,Notropis buccatus,1.13,50,1.13,50
355,Cypriniformes,Cyprinidae,Notropis chrosomus,1.24,50,1.24,50
356,Cypriniformes,Cyprinidae,Notropis girardi,1.17,50,1.17,50
357,Cypriniformes,Cyprinidae,Notropis nubilus,1.19,50,1.19,50
358,Cypriniformes,Cyprinidae,Notropis oxyrhynchus,1.04,50,1.04,50
359,Cypriniformes,Cyprinidae,Notropis potteri,1.18,50,1.18,50
360,Cypriniformes,Cyprinidae,Notropis rubellus,1.19,50,1.19,50
361,Cypriniformes,Cyprinidae,Notropis shumardi,1.36,50,1.36,50
362,Cypriniformes,Cyprinidae,Notropis stilbius,1.27,50,1.27,50
363,Cypriniformes,Cyprinidae,Notropis stramineus,1.26,50,1.26,50
364,Cypriniformes,Cyprinidae,Notropis texanus,1.37,50,1.37,50
365,Cypriniformes,Cyprinidae,Notropis volucellus,1.26,50,1.26,50
366,Cypriniformes,Cyprinidae,Ochetobius elongatus,1.06,48,1.06,48
